,region,quarter,grace_trend,vci_severe_pct,drought_resistance,flood_resistance,spei3_class_median,spei3_peak_abs,spei6_class_median,spei6_peak_abs,spei12_class_median,spei12_peak_abs,q_idx
75,Central Highlands,2018Q4,1.549466618353692,20.195317965946696,0.3925591957894737,0.349497958125,-0.8854166666666666,1.5,0.0625,0.875,0.08333333333333333,0.2916666666666667,75
76,Central Highlands,2019Q1,0.6152609937496726,18.937730438693457,0.35922790355555556,,0.0,0.16666666666666666,-0.6458333333333334,0.875,-0.0625,0.4791666666666667,76
77,Central Highlands,2019Q2,0.4546320843939497,15.085179048450664,0.4016369204411765,,-0.10416666666666667,0.5208333333333334,0.0,0.3125,-0.1875,0.6458333333333334,77
78,Central Highlands,2019Q3,-0.1065876371632374,20.63072179230666,0.35273409060975613,,-0.34375,1.0416666666666667,-0.3541666666666667,0.7083333333333334,-0.59375,0.875,78
79,Central Highlands,2019Q4,-1.3439440914188165,21.43016334617733,0.3887893539473684,,0.0,0.4166666666666667,-0.22916666666666666,0.7916666666666666,-0.2708333333333333,0.7291666666666666,79
80,Central Highlands,2020Q1,-2.6314845512970733,33.44321521795809,0.2948947456756757,,-0.9791666666666666,1.7708333333333333,-0.22916666666666666,0.625,-0.6041666666666666,0.9166666666666666,80
81,Central Highlands,2020Q2,-3.3316522249162133,41.87380179021045,0.26530777327272725,,-1.5833333333333333,2.1458333333333335,-1.71875,2.3958333333333335,-0.9270833333333334,1.3541666666666667,81
82,Central Highlands,2020Q3,-2.8027479345864346,25.515437648289147,0.34289254945454545,,-0.3229166666666667,1.4791666666666667,-1.1875,1.8125,-0.8125,1.25,82
83,Central Highlands,2020Q4,-1.5930128744004857,28.206640233706846,0.349877375,0.36700692865384615,1.3541666666666667,1.9166666666666667,0.75,1.2916666666666667,-0.020833333333333332,0.16666666666666666,83
84,Central Highlands,2021Q1,0.12956197872590333,25.847447807165302,,0.3727731874074074,0.0,0.6666666666666666,0.9166666666666666,1.375,0.08333333333333333,0.16666666666666666,84
85,Central Highlands,2021Q2,1.0348433955394023,18.807601134969715,0.3597551355882353,,-0.4895833333333333,1.0416666666666667,-0.34375,0.9166666666666666,0.11458333333333333,0.2916666666666667,85
86,Central Highlands,2021Q3,1.7719677107770615,20.23691694754137,0.35335612,0.5601012,-0.3333333333333333,1.1666666666666667,-0.4375,1.1875,0.10416666666666667,0.1875,86
87,Central Highlands,2021Q4,3.5212075955562097,13.770315643257733,,0.5359385667213115,1.4583333333333333,2.2708333333333335,0.8645833333333334,1.4583333333333333,0.125,0.25,87
88,Central Highlands,2022Q1,6.241582208584878,5.261249769727069,,0.5925386804918034,0.4166666666666667,1.7291666666666667,1.3854166666666667,1.7916666666666667,0.16666666666666666,0.5833333333333334,88
89,Central Highlands,2022Q2,7.815111609455944,8.904527287140215,0.48412656249999997,0.5542654652459017,0.59375,1.4583333333333333,0.5104166666666666,1.125,1.0833333333333333,1.4583333333333333,89
90,Central Highlands,2022Q3,8.344528667506156,20.78931462422222,0.324292725,0.42859518555555554,0.6041666666666666,1.5,1.0,1.5416666666666667,1.625,2.0,90
91,Central Highlands,2022Q4,7.740431062789397,19.38277932556393,,0.45697863166666663,0.14583333333333334,0.4583333333333333,0.20833333333333334,0.7083333333333334,0.7083333333333334,1.125,91
92,Central Highlands,2023Q1,6.593295218278349,13.922347714757644,,0.44656209428571425,0.625,0.8958333333333334,0.16666666666666666,0.3958333333333333,0.8333333333333334,1.3125,92
