pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
women,amenity_fast_food,drive,900s,74676.617338,174475.74639200003,160415.93347800002,82839.382359,162280.32923,176020.873759,110038.64309200001,214116.78766800003,167233.82608,180888.440143,114603.29903000001
youth,amenity_fast_food,drive,900s,40317.030453,93651.58765199997,87685.59447899999,45897.368169,90607.803698,96252.735439,57533.40790799999,131119.76843099997,92907.407719,100976.18264499998,62046.94659
children_u5,amenity_fast_food,drive,900s,11793.260637999998,26755.231436000005,26205.673219000004,12295.968193999997,19084.526501,18628.870387,15386.331578999996,23743.912938999998,16997.541009,23855.051898,16686.95267
women_rep,amenity_fast_food,drive,900s,47581.70455800001,115883.47682000001,103234.08988900001,56605.97161400001,106851.72328199999,119410.5297,73269.81190799999,139818.559561,112794.083905,119249.633439,77515.43509
elderly,amenity_fast_food,drive,900s,6783.449710000001,13644.83562,12921.449555999998,6285.79761,18662.041942,20942.416323999994,10801.346551,25960.235331,20206.966228999998,20338.718876000003,9657.365170000001
total,amenity_ice_cream,drive,300s,,7255.7531850000005,,40158.657225,16456.327323999998,75704.07446699998,14327.106779000002,,45418.718221,,29677.301451
men,amenity_ice_cream,drive,300s,,3417.6645209999997,,18874.223775000002,7766.782861,35419.001669000005,6697.697163,,21288.405752,,13850.121377
women,amenity_ice_cream,drive,300s,,3838.0886640000003,,21284.433450000004,8689.544463,40285.072798,7629.409616000001,,24130.312469,,15827.180074000002
youth,amenity_ice_cream,drive,300s,,2060.0701889999996,,11793.451365,4746.910503,22031.202914999994,4104.3246,,13375.335812000001,,8325.247455
children_u5,amenity_ice_cream,drive,300s,,587.260891,,3159.067365,1128.961616,4268.122291,940.950377,,2480.2570309999996,,2250.438879
women_rep,amenity_ice_cream,drive,300s,,2550.2996730000004,,14544.947115,5784.111334,27330.069137,5112.78619,,16269.934261999999,,10571.065905
elderly,amenity_ice_cream,drive,300s,,300.75038200000006,,1614.950865,871.748698,4787.452018,819.580612,,2897.411006,,1494.9975789999999
total,amenity_ice_cream,drive,600s,,34973.327941,,73578.937505,101476.30689299997,304595.653636,70849.584579,,130509.583579,5195.811062999999,94200.47451599999
men,amenity_ice_cream,drive,600s,,16473.533152,,34581.468295000006,48126.634362,142503.873341,33048.91052899999,,61174.24170300001,2498.3433539999996,44026.009851999996
women,amenity_ice_cream,drive,600s,,18499.794789,,38997.469209999996,53349.672531,162091.78029499998,37800.67405,,69335.34187599999,2697.4677090000005,50174.464664
youth,amenity_ice_cream,drive,600s,,9929.467299,,21608.033757,29463.442911,88633.95053399999,19854.095283000002,,38449.790755,1492.861512,26678.649924
children_u5,amenity_ice_cream,drive,600s,,2831.490782,,5788.062556999999,6671.655992,17153.390968999996,5185.6571619999995,,7105.960845,357.585057,7197.798467999998
women_rep,amenity_ice_cream,drive,600s,,12292.33045,,26649.341107,35269.882736,109961.19064699998,25196.984932999996,,46754.700227,1781.091582,33669.459323999996
elderly,amenity_ice_cream,drive,600s,,1448.890738,,2958.922857,5693.679961999999,19286.812044999995,3767.101034,,8337.560201999999,298.717758,4549.813268
total,amenity_ice_cream,drive,900s,,83347.20253299999,4103.159347,107849.76505300001,240409.86343,330772.40487499995,113156.278562,,223526.06632900002,50396.248290999996,172239.397971
men,amenity_ice_cream,drive,900s,,39259.27638799999,1956.641911,50688.80063400001,114303.42602900001,154751.531116,52771.25929999999,,104783.97593900001,24312.823724,80558.623917
women,amenity_ice_cream,drive,900s,,44087.926145000005,2146.5174359999996,57160.964419,126106.437401,176020.873759,60385.019262,,118742.09039,26083.424567000002,91680.774054
youth,amenity_ice_cream,drive,900s,,23667.503786999994,1192.3488,31669.262271,70197.36452599999,96252.735439,31635.417173999995,,65915.995409,14525.857100000001,49018.922055
children_u5,amenity_ice_cream,drive,900s,,6752.235170000002,270.64500799999996,8484.739095999998,14974.741829,18628.870387,8375.072685,,12083.391954,3437.040679,13212.181959
women_rep,amenity_ice_cream,drive,900s,,29298.583118000006,1408.312982,39058.347816,83145.825185,119410.5297,40227.117474,,80097.115129,17206.570249999997,61671.134505
elderly,amenity_ice_cream,drive,900s,,3447.2482300000006,232.467208,4337.454312,14311.751839,20942.416323999994,5965.393556999999,,14330.552241000001,2924.5220480000003,8134.489659000001
total,shop_deli,drive,300s,,,,,3081.204103,,,,59443.03458900001,,
men,shop_deli,drive,300s,,,,,1463.513361,,,,27869.875173000004,,
women,shop_deli,drive,300s,,,,,1617.690742,,,,31573.159416,,
youth,shop_deli,drive,300s,,,,,908.5387599999999,,,,17557.489439999998,,
children_u5,shop_deli,drive,300s,,,,,171.643705,,,,3177.033075,,
women_rep,shop_deli,drive,300s,,,,,1070.282716,,,,21306.061422,,
elderly,shop_deli,drive,300s,,,,,200.283278,,,,3831.474942,,
total,shop_deli,drive,600s,,,,,49090.010257,15699.705783000001,,49446.142223999996,194614.50810600002,7957.268171999999,
men,shop_deli,drive,600s,,,,,23383.865289,7345.424006,,24102.974014,91260.78434500001,3820.8681559999995,
women,shop_deli,drive,600s,,,,,25706.144968,8354.281777,,25343.168756,103353.723766,4136.4000160000005,
youth,shop_deli,drive,600s,,,,,14461.378617999999,4569.179383000001,,15501.427507999999,57486.334428999995,2306.75116,
children_u5,shop_deli,drive,600s,,,,,2764.800079,880.239529,,2713.369586,10410.498618,518.1556439999999,
women_rep,shop_deli,drive,600s,,,,,16932.145116,5666.695701999999,,16592.173064000002,69736.28027100001,2740.6140000000005,
elderly,shop_deli,drive,600s,,,,,3195.4058779999996,997.773072,,3140.515746,12540.097036,473.0053280000001,
total,shop_deli,drive,900s,,,,,130752.93461299999,99867.94994399999,15206.773859,205240.71503899997,314463.628694,91933.631837,
men,shop_deli,drive,900s,,,,,62335.183696,46721.500703,7106.543452999998,100251.32462900001,147465.330464,44332.476185,
women,shop_deli,drive,900s,,,,,68417.75091700001,53146.449240999995,8100.230406,104989.392831,166998.298237,47601.155675,
