,index,pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
224,224,total,amenity_bar,drive,900,58.53608100445709,97.61400011639726,75.37092377477035,76.58942033339507,98.49252634899611,100.0,93.00487089498326,96.92454744475235,100.0,95.94487803757987,67.07423095479821
231,231,total,shop_bakery,drive,300,17.162100666048403,59.81118855130936,42.107719106389894,49.13570399401889,75.34008292487138,85.84428471422983,41.161031116161645,76.17987306574896,68.4238939346005,53.61426774723247,23.651380629431973
238,238,total,shop_bakery,drive,600,42.52019546091815,91.72100536350037,82.72327359286851,79.74684627558986,98.11593420219971,100.0,82.3918318174585,91.85911529085577,100.0,87.56390504775912,62.95551696604318
245,245,total,shop_bakery,drive,900,51.629519762825026,98.89491789757618,96.04644651099268,87.64431026032096,100.0,100.0,91.8125272388876,96.38935323803435,100.0,97.81915040896645,80.39575300338338
252,252,total,shop_greengrocer,drive,300,,7.079621449651646,,30.83614639562758,4.598283033403998,26.086225166095034,17.503832557657688,0.13070551925765644,18.00908639425069,,8.954975940086936
259,259,total,shop_greengrocer,drive,600,,32.504756159587636,,58.63416581984111,33.91837994175717,92.80016368445251,48.57045689655009,14.91867973940997,79.78704346478936,3.8675171694598283,31.04741522553737
266,266,total,shop_greengrocer,drive,900,,62.89883972518123,4.086805494901702,66.99470312724048,83.47646081074569,100.0,69.7063044465961,47.10191134998819,100.0,31.797671066747757,48.02895660966118
273,273,total,amenity_marketplace,drive,300,,,,20.79516483391166,5.681821104932026,0.8298485966618983,7.764193970264316,15.603600850002412,16.37074455222977,17.781203188096207,0.5855620418207881
280,280,total,amenity_marketplace,drive,600,,,,47.419490104658394,37.86568031304334,25.927674723170934,26.546165754939377,52.430790054223245,67.4729512757591,59.91985968753086,6.45090751169178
287,287,total,amenity_marketplace,drive,900,,1.9718494932319273,0.22631810633328484,64.20366966181945,66.66063907810495,71.07430355529291,44.029597000971656,90.2078110180616,99.40813637044825,88.25662113222342,16.709829285168716
294,294,total,amenity_food_court,drive,300,,5.346167227425728,,,,,,,,,
301,301,total,amenity_food_court,drive,600,,18.11621667293582,,,,,,,,,
308,308,total,amenity_food_court,drive,900,,45.28444009577535,0.9404386208248152,,,,,,,,
315,315,total,shop_coffee,drive,300,,,,16.93152092202097,,15.107399283167004,0.05970029582712753,,14.894259667312609,,2.72501785612755
322,322,total,shop_coffee,drive,600,,,,49.969045825586264,0.05321482231684143,54.027401812292744,12.62648689375526,,65.7402729691568,9.140940903111398,10.73820453003505
329,329,total,shop_coffee,drive,900,,1.538047307263946,,65.74100493541265,11.74407987597782,90.83508228189227,43.50490109291278,5.793229835383358,98.11334504321822,25.36031183238594,23.667472975064204
336,336,total,shop_pastry,drive,300,,7.411731838022033,4.704732644887175,7.2274850502955195,13.146748401634373,0.4062588692995184,3.38291553534128,0.540850550523502,3.124893883009482,11.966851911982292,14.998396991634685
343,343,total,shop_pastry,drive,600,,26.509232873523374,21.147903356901114,24.709350599300915,37.65209520751303,29.765562038709653,20.842228670477432,18.690441199600514,27.530715895299572,37.0461392931507,47.54184758005406
350,350,total,shop_pastry,drive,900,,50.61440681645132,51.13720231794435,50.12067138608197,62.78307210576486,73.56209626161306,50.57390462729212,69.91450723433924,79.95466615357579,56.96724865033372,70.09637059998988
357,357,total,amenity_vending_machine,drive,300,1.7303062134025164,0.027461312764866387,,,,,,,,,
364,364,total,amenity_vending_machine,drive,600,10.72889067106936,3.658397739424932,,0.44289975433407697,,,,,,,
371,371,total,amenity_vending_machine,drive,900,20.278717353887902,18.794461987668264,,5.282413934066478,,,,,,,
378,378,total,mixed_offers,drive,300,16.007156747091976,52.70101345478743,29.328770095163865,63.42118962234184,82.89186522954773,98.04788241164188,37.71149545540433,72.05366199813807,95.3579912833529,57.32727054496121,47.61119185029521
