Name,ma_xa,Water,Urban/Built-up,Rice,Other Crops,Grass/Shrub,Woody Crops/Orchards,Barren,Evergreen Forest,Deciduous Forest,Plantation Forest,Mangrove Forest,Aquaculture
An Khánh,9877,3.3621626884320097,35.23845067908546,20.87234491375533,35.86479951969104,0.0061661284826455935,4.14623460496211,0.17492332906031,0.0019471984682038718,0.0,0.25410940010059996,0.06490661560679001,0.01395492235546
Ba Vì,9700,5.30786857736738,3.84330750258096,6.26636481554587,13.653046920048201,0.37324727430509,3.12397495111416,0.19093963246134,28.87090109925523,0.01208478686464,38.35734369479123,0.0,0.0009207456658775108
Ba Đình,4,7.06816177397001,83.8289026080383,0.009449414136323548,2.5387425979589198,0.0,4.96724203099407,0.0,0.0031498047121078492,0.0,1.54655411364495,0.015749023560530002,0.02204863298475
Bát Tràng,577,17.35546970760036,25.80285214333415,2.70885990346331,48.13013009628308,0.01479327455472,5.42532777669763,0.37786249862633003,0.0008453299745555678,0.0,0.06551307302805,0.10820223674311001,0.010143959694659999
Bình Minh,10126,4.57333621990668,26.487134354301777,46.436807575372505,19.41408836052046,0.00188254784024699,2.53736073067956,0.22653325677638,0.000941273920123495,0.0,0.25414395843334003,0.03639592491144,0.031375797337439996
Bạch Mai,292,3.6812362312825195,95.1885316560774,0.0,0.02873471472813,0.0,1.04722071453657,0.0,0.0,0.0,0.05427668337537,0.0,0.0
Bất Bạt,9676,17.39103101771661,11.13190098285911,25.83260127617828,27.230871801489258,0.009760762067362493,2.79621017733154,0.27379764782176996,0.004963099356286014,0.0,15.28733863723217,0.002481549678143007,0.03904304826944
Bồ Đề,118,21.267368728974688,62.29852274389353,0.43513236799765004,13.28214129003949,0.20696211788796,1.5584320608453999,0.10604066110867,0.0,0.0,0.8300424162644401,0.0,0.01535761298815
Chuyên Mỹ,10330,10.28528744971104,12.15819890183333,67.5115648219738,8.70198796996422,0.0005241845653854722,0.5323094261489401,0.12292128058289001,0.0007862768480782084,0.0,0.0432452266443,0.15227561624447,0.49089884548349
Chương Dương,10237,13.065424885375279,23.0181411733269,27.867084214539663,29.35370237005126,0.003584568108423409,6.18989738359115,0.15087773038182,0.00032586982803849173,0.0,0.03095763366365,0.14827077175751,0.17173339937628002
Chương Mỹ,10015,7.73292280164085,24.44535391702437,35.66057848801241,23.9130745143575,0.003569151113099261,4.81335719112566,0.24412993613597997,0.008803906078978175,0.0,3.03591993680223,0.07495217337507999,0.0673379843338
Cầu Giấy,166,4.18515720895099,91.06316683976962,0.84977811349258,3.08988764044943,0.0,0.69870644887168,0.04248890567462,0.0,0.0,0.049570389953730004,0.0141629685582,0.0070814842791049005
Cổ Đô,9634,30.54615899674976,15.322338778300109,44.71260479584862,8.56152440470378,0.0031386443846164575,0.12345334579490999,0.52798973314547,0.0,0.0,0.11211935218379,0.0027899061196590734,0.08788204276926
Cửa Nam,82,0.0,99.86038199486205,0.0,0.06701664246621,0.0,0.07260136267173,0.0,0.0,0.0,0.0,0.0,0.0
Dân Hòa,10180,4.48675173628258,15.348906677972879,70.42766874402268,8.603963759090941,0.005058887863728015,0.8176126385472801,0.14309425671686998,0.002890793064987437,0.001686295954576005,0.11033193531367999,0.013490367636600002,0.038543907533160005
Dương Hòa,9856,1.25695358613953,35.81096861862499,11.26640197035967,41.76610471782241,0.0116777782496,9.45209987685252,0.024947980805969997,0.0005308081022548729,0.0,0.41031466304301,0.0,0.0
Dương Nội,9886,1.43288807885081,66.47641430250127,4.51929302860979,25.22362646586249,0.01678697330871,0.97004724333916,1.11033837741912,0.0,0.0,0.03837022470562,0.0035972085661526653,0.20863809683685
