region,quarter,grace_trend,vci_severe_pct
Central Highlands,2000Q1,,30.879294168353574
Central Highlands,2000Q2,,16.207805274330283
Central Highlands,2000Q3,,34.18004721863305
Central Highlands,2000Q4,,30.813409756785745
Central Highlands,2001Q1,,19.53400756140221
Central Highlands,2001Q2,,13.602058306066407
Central Highlands,2001Q3,,18.34964553406102
Central Highlands,2001Q4,,23.11750429006648
Central Highlands,2002Q1,,38.95987319361347
Central Highlands,2002Q2,6.274836175253975,45.20898398067826
Central Highlands,2002Q3,5.261857090682762,43.761172260572515
Central Highlands,2002Q4,4.151258953409885,19.267944736955233
Central Highlands,2003Q1,3.436697155894936,37.75657173922309
Central Highlands,2003Q2,2.1627450360452847,32.73010636630318
Central Highlands,2003Q3,1.1669363716687855,17.326190943370044
Central Highlands,2003Q4,0.9220004789425982,28.58241484448801
Central Highlands,2004Q1,1.2438424301278497,36.10397733704139
Central Highlands,2004Q2,1.2828537601975405,25.50244115251619
Central Highlands,2004Q3,0.3853766945000831,37.36496992533257
Central Highlands,2004Q4,-1.092997872007785,63.893105244040406
Central Highlands,2005Q1,-3.673428002717864,75.93244815821048
Central Highlands,2005Q2,-4.215607772245043,55.2448409639639
Central Highlands,2005Q3,-3.4970588381310823,35.86937903885126
Central Highlands,2005Q4,-2.31187058452292,22.523292360778928
Central Highlands,2006Q1,-0.9640119788959122,20.59915078264284
Central Highlands,2006Q2,-0.5923822117680773,21.737423684320166
Central Highlands,2006Q3,-0.930535676800504,16.917490180276285
Central Highlands,2006Q4,-1.2614623644437415,44.43145232295345
Central Highlands,2007Q1,-1.1326637391259258,42.84808807078464
Central Highlands,2007Q2,-1.2663664811671282,27.436740767411223
Central Highlands,2007Q3,-0.8333761218361606,21.074298709454037
Central Highlands,2007Q4,0.3454476335832477,26.683308530925085
Central Highlands,2008Q1,1.678554842983034,22.30025775931375
Central Highlands,2008Q2,1.6659061179198953,16.913794671117103
Central Highlands,2008Q3,1.8504809475397892,27.740537393915883
Central Highlands,2008Q4,2.171029765973772,33.86094577697062
Central Highlands,2009Q1,2.5588037364314653,15.074798994982984
Central Highlands,2009Q2,3.1391256257916895,16.117187554574265
Central Highlands,2009Q3,2.5811788978591994,40.93855036226317
Central Highlands,2009Q4,0.4505289551107062,44.275084452835706
Central Highlands,2010Q1,-2.7371690597016687,31.394042375784277
Central Highlands,2010Q2,-4.38086046587775,30.19847954971405
Central Highlands,2010Q3,-4.45132795142693,16.64126891696728
Central Highlands,2010Q4,-3.4821208665601295,15.259309561149726
Central Highlands,2011Q1,-0.6701890973349356,27.85295409940731
Central Highlands,2011Q2,1.990454574795783,36.13524501069289
Central Highlands,2011Q3,3.0375763657272676,29.66016313009588
Central Highlands,2011Q4,4.543435600196727,34.62538895526748
Central Highlands,2012Q1,4.340764173793309,25.7556653310593
Central Highlands,2012Q2,2.2976893318228955,17.708059554245217
Central Highlands,2012Q3,1.1025693583073144,26.79778593705805
Central Highlands,2012Q4,-0.7000392314871398,38.77399328229642
Central Highlands,2013Q1,-1.6909449533229126,39.73923551329495
Central Highlands,2013Q2,-0.6535493117943548,17.3061134446523
Central Highlands,2013Q3,0.4013124254190301,21.735674502581933
Central Highlands,2013Q4,1.2368426073674088,29.694500558034186
Central Highlands,2014Q1,1.6026754690520086,33.86764855087008
Central Highlands,2014Q2,1.0331894452009522,19.50335507007921
Central Highlands,2014Q3,-0.1760658416177306,23.15180069014879
